Date;Indonesian rupiah (IDR)
30-04-1998;2508902.11
29-05-1998;3317678.34
30-06-1998;4385237.11
31-07-1998;3798375.57
31-08-1998;3062078.91
30-09-1998;3144193.43
30-10-1998;2221478.52
30-11-1998;2188147.14
31-12-1998;2288008.45
29-01-1999;2554329.13
26-02-1999;2536802.65
31-03-1999;2424228.33
30-04-1999;2317159.82
31-05-1999;2168943.82
30-06-1999;1796985.0
30-07-1999;1747664.94
31-08-1999;1955589.91
30-09-1999;2498145.0
29-10-1999;2041356.5
30-11-1999;2129767.43
31-12-1999;2046262.5
31-01-2000;2102084.55
29-02-2000;2180350.52
31-03-2000;2094997.5
28-04-2000;2179769.7
31-05-2000;2338627.5
30-06-2000;2522032.02
31-07-2000;2463075.0
31-08-2000;2303255.0
29-09-2000;2401277.89
31-10-2000;2475720.0
30-11-2000;2565867.1
29-12-2000;2655303.28
31-01-2001;2499525.0
28-02-2001;2627661.27
30-03-2001;2684589.24
30-04-2001;3052538.87
31-05-2001;2975937.5
29-06-2001;3082132.33
31-07-2001;2526049.07
31-08-2001;2419462.5
28-09-2001;2845266.83
31-10-2001;2919906.25
30-11-2001;2883107.5
31-12-2001;2875600.0
31-01-2002;2911922.49
28-02-2002;3013026.01
29-03-2002;2961254.04
30-04-2002;2875505.54
31-05-2002;2840602.23
28-06-2002;2775090.5
31-07-2002;2761499.04
30-08-2002;2769842.27
30-09-2002;2911357.36
31-10-2002;2924986.1
29-11-2002;2864269.62
31-12-2002;3107439.56
31-01-2003;3259725.0
28-02-2003;3086571.64
31-03-2003;2980665.97
30-04-2003;2920801.13
30-05-2003;3003233.19
30-06-2003;2854500.0
31-07-2003;3018922.5
29-08-2003;3186964.76
30-09-2003;3257260.0
31-10-2003;3281773.13
28-11-2003;3387965.5
31-12-2003;3505865.63
30-01-2004;3381285.38
27-02-2004;3346910.51
31-03-2004;3628354.53
30-04-2004;3411807.0
31-05-2004;3647393.75
30-06-2004;3721507.66
30-07-2004;3575438.11
31-08-2004;3817968.75
30-09-2004;3807353.11
29-10-2004;3872503.22
30-11-2004;4080599.12
31-12-2004;4043455.64
31-01-2005;3869426.0
